time_utc,open,high,low,close,tick_volume,spread,real_volume
2025-11-19T00:00:00Z,1.15744,1.15968,1.15176,1.15371,38814,10,0
2025-11-20T00:00:00Z,1.15367,1.15495,1.15014,1.15271,42724,10,0
2025-11-21T00:00:00Z,1.15236,1.1552,1.14907,1.15118,44332,10,0
2025-11-24T00:00:00Z,1.15103,1.155,1.15014,1.15199,31031,10,0
2025-11-25T00:00:00Z,1.15176,1.15856,1.15112,1.15682,38510,10,0
2025-11-26T00:00:00Z,1.1567,1.16004,1.15467,1.15958,43783,10,0
2025-11-27T00:00:00Z,1.15882,1.16131,1.15761,1.15944,24861,10,0
2025-11-28T00:00:00Z,1.15917,1.16071,1.15546,1.15951,59627,10,0
2025-12-01T00:00:00Z,1.159,1.16515,1.15889,1.16075,40823,10,0
2025-12-02T00:00:00Z,1.16068,1.16254,1.1590799999999999,1.16236,31070,10,0
2025-12-03T00:00:00Z,1.1620300000000001,1.16771,1.16174,1.16698,32980,10,0
2025-12-04T00:00:00Z,1.16645,1.16815,1.16406,1.16435,32853,10,0
2025-12-05T00:00:00Z,1.16417,1.16713,1.16275,1.16419,32570,10,0
2025-12-08T00:00:00Z,1.16329,1.16717,1.1616,1.16357,39075,10,0
2025-12-09T00:00:00Z,1.16316,1.16568,1.16146,1.16251,35326,10,0
2025-12-10T00:00:00Z,1.1625,1.16993,1.1621299999999999,1.16942,40697,10,0
2025-12-11T00:00:00Z,1.16936,1.1762299999999999,1.16818,1.17374,39464,10,0
2025-12-12T00:00:00Z,1.17382,1.17494,1.17191,1.17385,35031,10,0
2025-12-15T00:00:00Z,1.17298,1.1768399999999999,1.17259,1.17522,33924,10,0
2025-12-16T00:00:00Z,1.17494,1.18035,1.17346,1.17456,41798,10,0
2025-12-17T00:00:00Z,1.17451,1.17576,1.17027,1.17392,39812,10,0
2025-12-18T00:00:00Z,1.17372,1.17621,1.17122,1.17224,39466,10,0
2025-12-19T00:00:00Z,1.17156,1.17373,1.17024,1.17068,35931,10,0
2025-12-22T00:00:00Z,1.17139,1.17689,1.17056,1.17604,30934,10,0
2025-12-23T00:00:00Z,1.17533,1.18015,1.1752,1.1791800000000001,40453,10,0
2025-12-24T00:00:00Z,1.1789399999999999,1.18075,1.17722,1.17758,34644,10,0
2025-12-26T00:00:00Z,1.17765,1.17963,1.17611,1.17695,37232,10,0
2025-12-29T00:00:00Z,1.17633,1.17886,1.1749,1.17708,35371,10,0
2025-12-30T00:00:00Z,1.1766,1.17794,1.17429,1.17464,30913,10,0
2025-12-31T00:00:00Z,1.17421,1.1759,1.17196,1.17444,32454,10,0
2026-01-02T00:00:00Z,1.17447,1.17645,1.17129,1.17183,31850,10,0
2026-01-05T00:00:00Z,1.17185,1.17283,1.16585,1.17202,40823,10,0
2026-01-06T00:00:00Z,1.17175,1.17424,1.16834,1.16872,37161,10,0
2026-01-07T00:00:00Z,1.1684,1.17023,1.16724,1.16744,34849,10,0
2026-01-08T00:00:00Z,1.16729,1.16825,1.16422,1.16571,31922,10,0
2026-01-09T00:00:00Z,1.16562,1.16619,1.16177,1.16317,36406,10,0
2026-01-12T00:00:00Z,1.16268,1.16981,1.16212,1.16649,36709,10,0
2026-01-13T00:00:00Z,1.16661,1.16771,1.16337,1.16414,35271,10,0
2026-01-14T00:00:00Z,1.16402,1.16612,1.1635,1.1644,34032,10,0
2026-01-15T00:00:00Z,1.16435,1.16465,1.15926,1.16083,33592,10,0
2026-01-16T00:00:00Z,1.16036,1.16269,1.15841,1.15972,33625,10,0
2026-01-19T00:00:00Z,1.15786,1.16483,1.15767,1.1644700000000001,32387,10,0
2026-01-20T00:00:00Z,1.16413,1.1768,1.16322,1.1724999999999999,49056,10,0
2026-01-21T00:00:00Z,1.17177,1.17426,1.16757,1.1686,45223,10,0
2026-01-22T00:00:00Z,1.168,1.17551,1.16696,1.17536,37002,10,0
2026-01-23T00:00:00Z,1.17479,1.18332,1.17278,1.18273,43852,10,0
2026-01-26T00:00:00Z,1.1859899999999999,1.19066,1.1834500000000001,1.18786,59293,10,0
2026-01-27T00:00:00Z,1.18715,1.20819,1.185,1.20389,60773,10,0
2026-01-28T00:00:00Z,1.2036,1.2044,1.18953,1.1952,66284,10,0
2026-01-29T00:00:00Z,1.19527,1.19961,1.1951,1.19559,26062,0,0
